District ID,id,Pop20,DHouseholds,DTotal_Income,DArea,DSumAge,DTotal_Rent,DTotalCom,D20Minus,D20to40,D40to65,D65Plus,D0_25k,D25k_50k,D50k_100k,D100k_200k,D200kPlus,DGINI,DOc,DOcOth,DOc1Det,DOc1Att,DOc2_10,DOc10_50,DOc50_Plus,DWhite,DBlack,DNative,DAsian,DPacific,DOther,DMultiracial,DLatino,DVAP,DWhiteVAP,DBlackVAP,DNativeVAP,DAsianVAP,DPacificVAP,DOtherVAP,DMultiracialVAP,DLatinoVAP,DPop10,D10White,D10Black,D10Native,D10Asian,D10Pacific,D10Other,D10Multiracial,D10Latino,D10PCI,D00PCI,DPop00,D00White,D00Black,D00Native,D00Asian,D00Pacific,D00Other,D00Multiracial,D00Latino,DPop90,D90White,D90Black,D90Native,D90Asian,D90Other,D90Latino,D5_or_older,DEnglishOnly,DLimitedEnglish,DSpanish,DIndoEuropean,DAsianPacific,DOtherLanguage,D25_or_older,DHighschool,DBachelors,DGraduate,DNonInstit,DInsured,DUninsured,DMale,DFemale,DVeteran,DWorker_16_up,DCCar,DCTransit,DCWalk,DCBike,DCOther,DIAgri,DIConst,DIMfg,DIWholesale,DIRetail,DITrans,DIInfo,DIProf,DIEdu,DIArts,DIOther,DIPa,DIArmy,DinState,DoutState,DinCounty,DoutCounty,D16_up,DInLF,DUnemployed,DPopPov,DPoverty,DOHousing,DOwner,DRenter,DA_All,DA_Oth,DA_SouthAsia,DA_China,DA_SEasia,DA_Viet,DA_Filipino,DA_Japan,DA_Korea,DE_All,DE_Oth,DE_Germ,DE_USA,DE_Ire,DE_Brit,DE_Italy,DE_Scand,DE_Dutch,DE_Fr,DE_EastEuro,DE_Portug,DE_Czech,DE_Brazil,DE_Arab,DE_Polish,DE_Iran,DE_Balkan,DE_Hungary,DE_Greek,DF_All,DF_African,DF_Carib,DF_AA,DL_All,DL_Oth,DL_Mex,DL_PR,DL_Cuba,DL_Domin,DL_CA,DL_SA,DL_Spain,DUSBorn,DInStateB,DOutStateB,DForeignBorn,DForeignC,DForeignNC,DStSpouse,DGaySpouse,DStPartner,DGayPartner,DCapitaIncome,G22GovD,G22GovR,G22SosD,G22SosR,G22AgD,G22AgR,G22SenO,G22SenR,G22SenD,G22TreD,G22TreR,G22CorD,G22CorR,G20SenR,G20SenD,G20PreR,G20PreD,G20PreO,G20Ref207N,G20Ref207Y,G20Ref208N,G20Ref208Y,G18SosO,G18AgO,G18TreO,G18SpiO,G18MinO,G18MinD,G18MinR,G18SenR,G18SenD,G18GovR,G18GovD,G18SosR,G18SosD,G18AgR,G18AgD,G18TreR,G18TreD,G18SpiR,G18SpiD,G18SenO,G18GovO,G16PreR,G16PreD,G16SenR,G16SenD,G16PreO,G16SenO,G12SenR,G12SenD,G12PreD,G12PreR,G10TreD,G10TreR,G10TreO,G10SenD,G10SenR,G10SenO,G10AgD,G10AgO,G10AgR,G10SosD,G10SosR,G10SosO,G10SpiD,G10SpiR,G10SpiO,G10GovD,G10GovR,G10GovO,G08PreD,G08PreR,G08PreO,G24GuessD,G24GuessR,G28GuessD,G28GuessR,name,G22SpiD,G22SpiR,DCivilian,COUNTYFP,cntyName,cntyName2,GBuildD,GBuildR,districtId,countyFP
6,Native Tribes,6,61581,19738,1046189005,20557732,2239878,8586391,427938,18884,15542,18531,8566,6984,4527,5023,2531,160,28704,28855,4212,21736,514,1648,163,25,11004,415,45601,250,33,1499,2779,4827,44092,8954,342,31765,195,19,1139,1678,3140,63790,14591,551,44983,344,30,1647,1601,5623,1097596846,989067378,62211,14168,440,44033,157,12,1601,972,4256,53891,13525,395,37614,130,1219,3649,57542,26819,6154,1577,144,261,28259,38642,30619,4626,1762,60172,51140,8944,30753,30828,2484,17953,16437,164,651,15,148,136,915,211,120,1702,940,342,347,6866,1806,256,2045,14,17609,228,15258,2483,46217,20749,5764,59832,19212,19738,13192,6430,343,0,33,18,41,22,34,87,54,3249,112,601,314,278,663,85,178,27,22,21,1,14,0,2,23,0,7,7,0,44815,0,0,44814,5588,485,4569,89,1,0,21,2,124,60886,49432,11103,695,224,331,7448,11,1311,4,1087723464,12466,4075,12589,3807,12621,3642,234,3414,12871,11876,4446,20045,6668,9741,19843,10008,19262,324,14287,14232,13290,15164,2,0,4,0,0,13398,6925,6745,13325,8789,11265,6846,13645,7412,12976,7498,12893,6608,13909,809,691,7218,13825,7395,14529,2068,1090,5392,13176,13656,5751,9789,4138,727,8367,5958,562,10254,0,4549,10680,4245,0,10336,4169,0,9636,5070,329,11842,6695,81,18290,10980,17388,11882,Native Tribes,18723,21688,78754,017,Navajo County,Navajo,NaN,NaN,6,017
6,Native Tribes,6,12165,3374,165843559,10073216,410920,1630005,85569,4217,3330,3013,1576,1226,874,830,375,7,5521,4140,838,3038,26,75,51,0,526,24,10547,0,6,433,629,1746,8392,443,24,7220,0,5,315,385,1115,13008,769,32,11226,30,6,721,209,1996,157395693,143433554,12782,920,14,11334,16,8,257,145,1482,11298,250,15,10680,2,230,974,11410,7291,441,1648,0,27,2399,6891,5184,446,130,12042,10194,1805,5749,6416,347,3720,3341,73,182,0,21,3,215,76,0,283,101,101,213,926,756,112,676,0,3705,4,3601,91,8865,4374,1380,11865,4650,3374,1861,1500,33,0,0,0,0,17,0,10,0,309,9,34,48,88,12,19,3,3,3,0,0,0,0,7,3,0,0,0,0,9886,0,0,9883,2143,80,2013,15,0,0,5,0,0,11866,10673,1079,299,80,205,820,0,238,3,172606924,2338,260,2356,229,2288,273,22,209,2368,2195,361,3779,523,443,3782,345,3907,23,1325,2437,1177,2555,0,2,0,0,0,2570,283,250,2481,503,2249,263,2596,311,2535,359,2461,254,2584,140,126,255,3029,664,2593,166,131,229,2399,2537,260,1543,190,87,1359,418,60,1575,0,278,1696,159,0,1604,220,0,1593,239,23,2370,608,11,3812,440,3725,527,Native Tribes,248230,159636,821500,019,Pima County,Pima,NaN,NaN,6,019
6,Native Tribes,6,9237,2764,136220881,2044255,312088,1057193,66760,2691,3131,2481,939,1140,626,462,458,24,5046,3035,550,2354,54,32,0,0,102,21,8598,6,0,260,250,1073,6151,87,19,5693,5,0,202,145,617,7830,149,15,7092,3,3,160,383,1279,106574558,87522765,7613,304,14,6910,1,0,121,118,553,6379,78,3,6117,0,68,470,8606,6417,349,922,0,11,1231,5498,3920,362,38,8972,6765,2197,4674,4563,206,2783,2671,7,49,0,6,189,257,143,15,221,161,136,129,501,527,7,326,0,2767,4,1912,879,7216,3132,637,8927,3281,2764,1504,1257,0,0,0,0,0,0,0,0,0,388,59,129,25,21,55,0,25,0,24,0,0,0,0,0,0,0,0,0,0,6377,0,0,6375,1908,0,1868,0,17,0,0,0,0,8856,7740,1067,381,37,324,678,16,162,1,143272066,1048,132,1060,115,1038,137,14,94,1064,977,200,1690,224,283,1729,212,1772,11,673,1201,759,1138,0,0,0,0,0,939,150,116,933,260,810,147,952,193,914,201,903,157,946,51,22,128,1240,412,1048,95,49,142,990,1065,156,550,109,35,442,273,9,555,0,152,645,81,0,573,147,0,603,108,4,865,457,2,1695,289,1632,352,Native Tribes,62008,83147,329322,021,Pinal County,Pinal,NaN,NaN,6,021
7,Flagstaff and Sedona,7,102922,38582,3574711085,11621211,3660379,52624340,902041,27897,34370,27466,13079,6631,7202,12276,9194,2923,44972,52353,4087,31293,3464,7384,4007,1892,70944,1706,10507,2265,223,6548,10729,18682,84488,60505,1523,7577,1985,187,5106,7605,13860,90726,69053,1388,9515,1414,124,6000,2933,15080,2757786944,2369326534,74387,59542,859,6486,596,42,3683,1718,10092,59920,48740,1026,5068,532,3433,7664,98268,83401,3024,7626,1478,1245,4145,61424,58512,30297,12288,102305,93327,8940,52015,50907,5356,50969,44987,719,3532,910,526,491,2773,4543,426,5973,2017,2495,4664,14481,7399,1838,2893,11,50536,338,48167,2715,86271,55852,5721,92639,12506,38582,21790,16636,4519,255,554,1069,113,110,1159,504,423,26842,3325,4283,4636,3289,4094,1449,1418,217,374,842,122,249,0,88,902,128,119,39,41,25804,74,60,25613,17415,1986,12318,326,276,0,603,651,889,97357,44915,51308,5565,2483,2962,16488,118,4157,104,3603696281,25249,14436,25268,13666,24741,14222,906,13429,25671,22695,15931,44923,26534,19560,32383,19231,31908,1217,15353,35881,18539,32396,5,20,2,10,17,23612,14726,14251,25215,16185,23181,14605,24929,15109,24134,15767,22996,13746,25168,1339,1104,15512,23687,18375,22253,4652,2591,14233,19823,20173,15555,13015,10954,2239,11633,13950,1876,15216,0,11136,14055,12417,0,14663,11456,0,14458,12216,1071,22420,16252,497,31938,19201,31966,19173,Flagstaff and Sedona,35149,20150,115161,005,Coconino County,Coconino,NaN,NaN,7,005
7,Flagstaff and Sedona,7,83886,39782,3415914172,4088359,4378245,42394193,631641,12202,12196,26715,32780,6724,8781,13542,7684,3034,36329,48215,4127,34832,2244,3914,1442,1414,72229,537,970,1344,79,2274,6453,7708,74621,65455,465,766,1206,60,1802,4867,5727,74049,68419,393,773,791,75,1850,1495,6468,2953588961,2376768127,61930,57838,185,575,331,26,1370,813,4228,46475,44655,125,454,163,657,2447,81946,75128,1872,4285,1414,571,114,68194,64723,27618,12196,83547,75566,7908,40614,43270,10496,30836,28530,7,1380,134,561,126,2555,1123,223,4609,1053,2594,4168,7160,3007,1872,1335,12,30481,264,28180,2553,74720,33080,3818,81992,8761,39782,29137,10617,1940,37,198,428,183,111,335,246,190,28225,2033,6184,2608,3621,6637,1495,1315,402,738,591,29,243,24,34,693,0,77,145,147,9510,6,11,9480,8193,484,6442,505,114,35,90,98,142,78294,19964,57294,5591,3212,2233,19986,233,1951,66,3455631956,21181,31612,21763,30446,20431,30900,881,30526,21479,17454,33795,37661,60441,34543,24258,34569,23689,848,26281,28677,29475,25164,0,6,0,6,8,17724,26709,26464,19420,29799,16244,26473,18416,27271,17724,27940,16612,25378,19123,969,805,27454,17865,27488,16735,3208,2936,24435,17150,16768,26816,11812,20197,1935,10592,21837,2056,14231,0,19987,11712,22766,0,12694,21036,0,12560,21947,901,17628,24655,565,23412,34846,23258,35000,Flagstaff and Sedona,45258,77322,198771,025,Yavapai County,Yavapai,NaN,NaN,7,025
8,Rural Arizona,8,17043,5839,389411555,8221798,729624,4183941,98984,4361,3015,5384,4210,1036,1374,2103,927,51,6846,10352,3197,6795,1,201,59,1,13665,73,625,65,6,1072,1537,3056,13303,10839,66,444,56,3,829,1066,2091,17093,14915,102,604,70,6,762,508,2970,412505363,319913904,13445,11196,87,478,18,14,888,326,2151,11520,10010,7,344,12,845,1803,16048,13584,284,1711,153,6,346,11954,10624,2394,1006,16543,15024,1510,9049,7994,1813,4877,4747,0,4,0,24,195,389,36,0,566,552,190,102,1103,240,14,436,0,4829,4,3531,1217,13634,5134,369,16539,2689,5839,4923,713,13,0,0,0,0,10,1,2,0,4687,237,770,1386,446,879,37,119,8,31,3,0,6,0,0,21,0,7,0,0,3708,4,0,3694,3478,270,2652,13,4,0,1,0,345,16475,9249,6896,568,330,164,3364,0,205,0,421510237,1562,6355,1728,6104,1595,6236,143,6143,1606,1280,6460,2693,11412,7414,1834,7725,1621,55,4941,4199,6564,2488,0,0,0,0,0,1398,5497,5432,1516,5946,1022,5578,1514,5663,1319,5578,1367,5381,1593,158,62,6261,1205,5328,1460,320,955,5373,1526,1371,5922,1256,4086,598,1053,4036,773,1800,0,4087,1288,4642,0,1707,4139,0,1197,4611,207,1557,5360,33,1640,7706,1520,7826,Rural Arizona,18005,9016,48581,001,Apache County,Apache,NaN,NaN,8,001
8,Rural Arizona,8,26700,12150,722193950,9242702,1257805,8439307,247276,4845,5219,8427,8168,3280,3242,3805,1486,192,11352,15869,4026,10131,131,805,310,154,20877,506,328,306,65,1358,3260,5095,22458,18098,403,247,252,50,1016,2392,3627,28696,24778,639,327,329,67,1434,1044,5474,703949019,661570787,26637,22850,426,250,181,38,1794,727,5016,22001,19940,425,175,150,967,4342,25747,21398,1011,3601,199,138,103,20448,18407,4871,1607,26306,23916,2311,13497,13203,3777,9442,8833,0,248,38,104,292,454,327,73,1116,578,342,928,1817,878,303,1116,35,9273,70,8158,1200,22671,10236,1440,26342,4285,12150,8595,3582,405,6,0,26,0,79,53,59,106,7964,325,1689,699,1143,2126,204,243,91,137,191,0,49,0,74,36,0,3,6,0,6306,3,0,6298,6248,234,5284,257,7,12,228,38,20,25045,9571,14919,1655,1097,454,5230,2,424,8,746799522,5025,7297,5109,7124,4903,7280,303,6852,5210,4377,7816,8836,14030,9098,6030,9215,5776,174,6142,8891,7887,7069,8,0,0,0,0,4486,6953,6942,4469,7651,3763,6745,4852,6871,4664,7185,4327,6692,4820,334,314,7446,4179,6832,4531,1166,1083,6611,5088,4764,7543,3901,5097,856,3465,5825,820,4140,0,5824,3936,5962,0,4205,5651,0,3663,6272,251,4948,7134,188,5834,9157,5859,9132,Rural Arizona,20002,27768,94659,003,Cochise County,Cochise,NaN,NaN,8,003
8,Rural Arizona,8,19045,7303,514491852,15250209,735843,5849978,153111,5241,4782,5950,3066,1964,1182,2533,1228,255,7986,10056,3050,5890,20,592,395,0,11986,205,3783,280,28,1031,1732,2675,14878,10030,177,2575,235,15,754,1092,1799,18292,13087,149,3135,307,24,836,680,2328,498149776,449885802,15714,11906,121,2307,100,18,612,343,1578,13763,10967,134,2040,79,334,1165,18072,14349,467,1476,356,112,1538,12561,11158,2772,906,19045,17001,2042,9254,9791,1426,8370,7014,143,893,49,36,114,232,487,140,1025,417,144,302,1384,2789,196,462,0,7883,391,7596,660,14776,8943,801,18885,3767,7303,4787,2483,158,22,0,33,2,0,26,2,8,3966,147,698,417,647,635,171,340,29,32,9,0,0,0,0,16,0,207,14,0,6053,4,0,6035,2815,168,1776,4,153,0,373,0,237,18073,9224,8706,972,234,656,3207,29,548,0,524672157,2555,4380,2627,4231,2519,4293,158,4200,2628,2204,4592,4372,7692,5594,3423,5680,3248,107,3645,5145,4759,3949,0,0,0,0,0,2385,3890,3834,2491,4371,2029,3923,2531,4047,2358,4115,2247,3799,2582,217,130,4309,2219,4233,2261,700,635,3847,2551,2529,4285,1735,2834,420,1448,3375,344,2041,0,3052,1940,3156,0,1994,3039,0,1758,3289,167,2723,4237,98,3334,5594,3360,5568,Rural Arizona,35149,20150,115161,005,Coconino County,Coconino,NaN,NaN,8,005
8,Rural Arizona,8,44872,20548,1367740433,7199963,2179239,16625647,330990,8042,7793,14151,14854,4704,5013,7021,3167,548,18903,30651,6890,21809,314,1064,252,45,35356,274,1815,405,36,2681,4305,8399,37372,30347,205,1333,333,21,2002,3131,5903,45198,40065,206,1131,246,46,2392,939,8282,1160583208,1249400877,42885,38122,145,611,147,13,2625,566,6889,32856,29155,63,412,83,2682,5676,43024,38078,1095,3815,318,218,294,34936,31042,7113,2606,44071,39989,4066,22382,22490,5066,16532,16314,1,48,3,44,1347,1284,561,121,1953,759,887,954,3978,2330,431,1091,32,16500,5,14496,1986,38252,17908,2250,43902,6460,20548,16088,4453,446,11,0,146,144,9,7,11,50,11496,426,2145,2025,1635,2219,718,901,126,286,85,4,5,0,0,54,0,55,24,32,9013,0,12,8977,9385,346,8058,22,143,0,269,127,188,43391,20281,22833,1481,729,623,9585,31,1263,21,1386814013,6586,14493,7073,13850,6619,14293,587,13726,6864,5484,15397,11625,26769,17417,7759,17929,7072,316,11398,12699,14736,9484,0,8,6,0,0,5711,12793,11946,6435,14047,4562,12536,6279,12912,5712,13129,5488,12135,6561,653,456,13918,5398,12766,5320,1247,1673,11739,6422,6018,13196,4982,9613,1296,3994,11078,1235,6355,0,9675,5169,10808,0,5750,10073,0,5066,10917,594,6318,13540,324,6675,18326,6296,18705,Rural Arizona,7984,14554,42873,007,Gila County,Gila,NaN,NaN,8,007
8,Rural Arizona,8,33813,10737,731517160,7604762,1238994,9715108,274637,9608,9710,9533,4968,2148,2280,4151,1853,150,13280,12659,2617,8732,36,721,136,189,25019,533,752,192,20,3219,4078,11327,24784,18345,440,568,167,16,2557,2691,7836,32352,26714,670,628,192,46,2996,997,11107,658401504,608024175,28346,21864,566,406,147,8,4154,534,8532,22264,19954,426,255,65,1244,6233,31722,25614,1187,5375,180,151,225,21676,18323,3540,1132,31067,28907,2132,18291,15522,1550,12353,12018,3,134,0,95,1382,1136,415,197,1632,410,528,770,2627,1285,598,616,0,12339,9,10659,1634,26302,13112,909,30682,5004,10737,7753,2976,487,19,15,7,0,0,337,5,18,4618,657,603,625,301,1199,134,276,8,35,7,0,1,0,5,10,0,1,0,0,10718,15,5,10632,12365,525,11619,16,0,0,3,10,11,33063,21875,10913,750,314,315,5147,18,895,0,755297913,2606,7696,2765,7431,2591,7596,195,7347,2756,2153,8054,4293,13784,10116,3455,10578,2957,161,7876,5610,9034,4392,0,0,0,3,0,2508,7053,6787,2646,7600,1959,6975,2735,7168,2417,7241,2376,6724,2917,352,195,7951,2347,7523,2487,895,892,7248,2840,2602,7928,2270,5323,517,1750,5964,588,2855,0,5379,2240,5828,0,2955,5149,0,2320,5835,278,2561,7876,64,2546,10989,2126,11409,Rural Arizona,3243,7527,28240,009,Graham County,Graham,NaN,NaN,8,009
8,Rural Arizona,8,9563,3264,249170564,4771123,338825,1441392,73345,2882,2651,2806,1200,403,703,1399,650,66,3390,4393,979,3086,68,176,14,9,6584,87,355,75,5,893,1564,4376,6843,4796,58,226,66,0,678,1019,2939,8410,6489,87,190,43,4,1252,312,4019,209750955,214901448,8385,6184,30,105,11,1,1610,239,3549,7820,6653,22,155,14,886,3339,8866,7407,285,1196,0,72,150,5760,5059,933,143,9540,9316,203,5117,4446,516,4174,4030,0,99,0,6,1567,278,94,8,319,35,147,289,683,241,168,110,0,3853,306,3681,488,7264,4352,226,9530,1080,3264,1725,1541,38,0,0,0,22,0,7,0,4,833,115,59,201,55,252,0,6,0,1,1,0,0,0,0,0,0,0,0,0,4366,0,0,4364,4594,184,4315,9,6,0,0,12,3,9344,6492,2795,219,63,132,1680,0,204,2,262456805,920,1525,977,1428,937,1461,100,1392,969,852,1544,1628,2784,2226,1403,2433,1183,53,1557,2022,2050,1572,0,2,0,0,0,1038,1460,1416,1042,1638,831,1438,1084,1494,999,1473,1034,1382,1124,113,79,1891,1092,1784,1190,316,303,1366,1341,1310,1593,1181,1008,161,945,1320,135,1290,0,1074,1169,1170,0,1287,1007,0,1174,1184,81,1162,1710,25,973,2643,730,2886,Rural Arizona,969,1464,6927,011,Greenlee County,Greenlee,NaN,NaN,8,011
8,Rural Arizona,8,9518,5679,269016576,10660725,567265,3612641,24967,778,1001,2340,5338,2018,1829,1350,323,89,4365,10467,6974,2914,15,411,118,0,7667,40,127,68,37,716,863,1525,8582,7133,39,113,56,20,542,679,1109,13382,11778,70,209,62,3,925,305,1937,384203529,321350814,11811,10768,47,161,25,8,408,163,1449,6598,6156,23,41,17,198,696,9366,8533,395,590,143,20,8,8493,7218,1178,302,9518,8294,1224,5145,4373,1766,2105,1918,0,11,130,6,158,207,52,96,339,159,96,80,292,136,7,139,0,1798,301,1714,369,8834,2367,691,9459,2176,5679,4317,1283,74,0,0,71,0,0,2,1,0,3079,149,802,398,199,799,106,77,83,26,1,0,0,0,0,20,0,11,25,2,1648,19,0,1627,1200,110,947,0,44,0,0,1,70,8753,1235,7441,765,129,578,2327,0,341,0,258139010,937,3086,978,3001,919,3056,63,2982,952,765,3228,1506,5444,3674,1253,3896,1049,14,1967,2782,3215,1527,0,0,0,0,0,767,2640,2530,839,2928,529,2616,852,2692,719,2675,750,2593,846,98,49,2992,737,2575,864,159,391,2315,1064,977,2760,740,1994,257,588,2212,304,842,0,2144,752,2240,0,859,2134,0,666,2364,73,1035,2441,43,1073,3872,1011,3934,Rural Arizona,1711,3814,13860,012,La Paz County,La Paz,NaN,NaN,8,012
8,Rural Arizona,8,95437,33785,3202716051,6811032,3955594,43606718,1456488,23383,20156,32376,19462,3790,5627,12053,9850,2189,35608,37438,5448,30736,351,335,238,64,67840,3410,1353,1386,156,9900,11392,24220,73296,54552,2452,999,1125,121,6691,7356,15662,68807,55781,1805,767,760,80,7167,1839,15890,2157631872,1075414331,32889,27670,816,416,76,24,2713,525,6032,19686,17061,472,170,59,1465,2780,91104,73734,4214,14324,1263,1006,363,67344,60356,17346,6065,93799,85951,7730,47256,48181,7833,40565,39346,40,463,10,410,731,4552,2449,985,5651,2623,3395,4189,7671,3295,1753,1893,229,40008,407,39447,958,76261,43221,3673,93619,8228,33785,29377,4310,2130,70,90,112,2,496,842,201,34,24029,2434,4311,3418,2803,4000,1770,1401,326,353,376,11,95,50,67,836,0,149,77,60,23027,10,118,22860,24664,2520,19811,441,27,28,599,411,374,87496,33658,52841,7941,3736,4139,21366,306,2283,1,3279816874,13303,27316,14208,25923,12919,26862,859,26029,13796,11088,28644,22594,50348,31180,16361,31846,15574,510,20664,25991,27960,18320,0,2,0,2,2,9137,19354,19152,10218,21663,7716,19682,9864,19978,9395,20387,8744,18984,10078,561,475,20463,8785,19519,8349,1669,2299,14434,7746,7376,16269,4709,10569,1362,3850,11853,1338,5922,4,10927,4647,12058,2,5224,11510,3,4782,11857,563,6860,14619,291,15643,31777,15716,31704,Rural Arizona,809572,738705,3373188,013,Maricopa County,Maricopa,NaN,NaN,8,013
8,Rural Arizona,8,212017,94205,6259083664,32623757,10056434,77429750,1588715,38527,40704,66988,65521,21588,25425,29877,13844,2719,88966,118716,31140,72804,1796,6991,3194,1738,169719,2216,3984,2730,408,12670,20290,34059,176693,144932,1789,3025,2338,321,9638,14650,24219,198566,173525,1819,3203,2035,327,11873,5355,29337,5213240395,4120352403,151984,137862,700,2248,1014,133,5816,2957,16384,91078,87205,245,1177,450,1426,4409,203480,183079,5975,16200,1296,1304,583,164826,144306,24228,9244,208724,189461,19134,107662,104355,24930,74709,71201,321,590,246,1755,550,5362,3963,872,9525,4591,5145,5427,16506,11729,3275,4178,141,63382,11031,62241,12129,181144,82240,13189,208226,32558,94205,67643,26273,3444,73,306,172,224,101,1506,272,242,58735,3441,11769,7736,6914,11187,2972,3696,1423,1511,696,200,115,0,232,1669,80,126,406,103,37123,371,3,36653,35951,3409,28657,669,326,0,725,565,503,198694,37071,159808,13323,7319,5589,43501,153,6402,283,6344647858,20258,61098,20777,59303,19467,60570,2114,58724,20923,16471,63541,32493,104478,75303,27183,78494,24582,980,38985,58691,64475,32718,0,2,0,0,0,17265,52178,50177,19071,56632,13449,51868,18621,52898,17081,53069,16809,50842,18918,2174,1157,58257,17261,50416,18892,4194,7869,42382,20677,19321,49146,13992,32834,4564,12198,36293,4565,16032,0,35330,14027,37325,0,15584,35186,0,12660,38970,1876,21939,44248,751,23567,79509,22398,80678,Rural Arizona,21040,60809,177642,015,Mohave County,Mohave,NaN,NaN,8,015
8,Rural Arizona,8,45136,17423,1143165342,5211353,1916711,13366694,330219,11816,8495,13472,11285,3671,4731,5461,3122,205,18205,29524,7749,19421,525,997,403,139,37426,345,1841,317,53,1650,3504,6060,35116,29698,284,1303,252,42,1239,2298,4194,43489,38272,381,1530,217,44,1938,1005,5858,1071832688,810948608,32993,29261,300,1058,76,15,1118,515,3052,20854,19066,160,859,31,488,1250,42399,38038,860,3362,87,111,446,31567,28617,7001,2703,44662,38600,6033,22910,22226,3995,15346,14689,94,194,41,68,360,1580,293,156,2135,611,866,902,4122,1497,656,544,0,15233,61,14324,831,35464,17251,3285,44582,7334,17423,13246,4145,470,0,2,145,250,0,19,20,5,14566,944,2203,2586,1669,3568,664,1257,113,166,19,17,28,0,5,84,1,9,35,11,7355,6,0,7331,6548,703,5307,28,1,13,90,19,140,43471,23056,19886,1665,1027,525,9558,70,918,24,1158488846,5591,18264,6111,17472,5497,18105,570,17556,5852,4443,19045,9449,32839,17210,4552,17648,4121,181,11892,9594,15068,6395,0,0,0,0,0,3029,12263,12022,3298,13090,2380,12193,3284,12441,3038,12644,2750,11902,3610,434,245,13358,2634,11365,3115,1190,1975,12835,3704,3288,14132,2854,9963,1227,2340,10167,1512,4314,0,9605,2973,11069,0,3810,9855,0,2850,11057,493,3708,13035,124,4242,17527,4373,17396,Rural Arizona,18723,21688,78754,017,Navajo County,Navajo,NaN,NaN,8,017
8,Rural Arizona,8,19493,7937,525063814,7721126,863156,5902276,223343,4259,3875,6724,4612,1659,2554,2257,1245,162,8335,9613,4031,5169,78,55,36,108,13696,238,641,171,16,1687,3044,5708,15934,11655,180,462,144,14,1282,2197,4135,20314,16574,202,655,121,29,1968,671,5923,510717680,441896767,18226,14972,126,440,72,8,1853,486,5118,11896,10732,41,354,33,513,2854,18732,14052,1341,4351,19,65,17,14206,12198,2768,878,19329,17750,1536,9761,9732,2014,7863,7478,23,20,9,177,228,612,374,108,1404,465,190,882,1627,811,163,318,128,7784,39,7383,427,16284,8729,1419,19457,3295,7937,6272,1666,251,0,21,37,0,0,103,0,17,4309,390,867,478,863,562,164,197,67,22,13,8,2,0,0,111,0,6,0,4,5622,2,0,5621,6998,144,6535,168,66,0,2,1,0,17581,8207,9198,1912,1144,682,3698,12,637,0,531215575,3351,4494,3412,4400,3283,4477,188,4180,3479,2902,4842,5756,8250,5808,4169,5956,3985,85,3802,5703,5019,4358,0,4,0,0,0,2916,4219,4204,2921,4725,2382,4113,3080,4149,3003,4375,2780,4060,3063,230,210,4649,2869,4287,2826,522,680,3758,3202,3063,4291,2510,3259,558,2118,3883,482,2710,0,3716,2550,3770,0,2613,3764,0,2431,3922,208,3219,4558,82,3967,5974,3983,5958,Rural Arizona,248230,159636,821500,019,Pima County,Pima,NaN,NaN,8,019
8,Rural Arizona,8,57066,17949,1343651333,4409544,2360793,15233710,478957,11448,17267,16641,11663,4126,4600,5780,2850,397,22959,21938,4906,14355,439,1467,344,132,31731,2608,2044,619,202,11952,7910,23769,46151,26859,2040,1575,549,155,9428,5545,17453,59292,36413,3194,3155,1068,1007,12238,2030,26298,1286806179,818701483,36680,22620,1259,1311,255,33,9315,1025,18212,22755,13786,988,800,61,6544,11332,54381,37614,6449,15308,295,372,452,42219,33044,5510,1552,46157,42132,4020,34321,22745,4593,16538,15677,3,366,116,191,940,1269,1612,182,1893,852,808,1636,2772,1590,510,1267,0,16437,68,11377,5141,48196,18168,2528,46024,7545,17949,13001,4952,812,14,89,84,166,61,107,70,98,11393,640,2524,1928,1420,1551,429,893,131,209,63,74,31,5,27,240,36,24,37,9,23973,194,49,23722,24207,565,20791,650,32,3,887,313,608,49817,23621,25773,7249,1928,5211,8765,35,1130,7,1410001247,5850,8695,6221,8259,5842,8524,298,8179,6067,5235,9184,9903,15377,11016,8521,11542,7975,165,7945,11113,10775,8309,7,12,0,4,6,5294,7122,6731,5657,8052,4288,7025,5586,7298,5245,7307,5137,6925,5622,389,312,7903,5705,7705,5371,719,1075,5824,5744,5577,6685,4145,4791,638,3422,5743,580,4638,0,5024,4231,5442,0,4481,5157,0,4211,5401,231,5486,7131,76,7465,12052,7068,12449,Rural Arizona,62008,83147,329322,021,Pinal County,Pinal,NaN,NaN,8,021
